Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2018.01.01 00:00:00,1,,balance,,,,,0,0,25000.00,25000.00,
2018.01.03 13:00:00,2,XAUUSD,buy,in,0.25,1315.08,2,0.00,0.00,0.00,25000.00,els atr=2.43907
2018.01.03 19:07:40,3,XAUUSD,sell,out,0.25,1310.46,3,0.00,0.00,-115.50,24884.50,sl 1310.46
2018.01.10 15:00:00,4,XAUUSD,buy,in,0.18,1317.98,4,0.00,0.00,0.00,24884.50,els atr=3.36583
2018.01.12 13:30:40,5,XAUUSD,sell,out,0.18,1322.87,5,0.00,-32.40,88.02,24940.12,sl 1322.89
2018.01.12 16:00:00,6,XAUUSD,buy,in,0.2,1331.46,6,0.00,0.00,0.00,24940.12,els atr=3.08682
2018.01.16 09:16:40,7,XAUUSD,sell,out,0.2,1335.34,7,0.00,-18.00,77.60,24999.72,sl 1335.34
2018.01.25 13:00:00,8,XAUUSD,buy,in,0.23,1358.36,8,0.00,0.00,0.00,24999.72,els atr=2.68642
2018.01.25 14:18:41,9,XAUUSD,sell,out,0.23,1352.99,9,0.00,0.00,-123.51,24876.21,sl 1352.99
2018.01.26 15:00:00,10,XAUUSD,buy,in,0.17,1353.39,10,0.00,0.00,0.00,24876.21,els atr=3.49777
2018.01.29 02:15:17,11,XAUUSD,sell,out,0.17,1346.36,11,0.00,-7.65,-119.51,24749.05,sl 1346.38
2018.02.15 13:00:00,12,XAUUSD,buy,in,0.19,1350.89,12,0.00,0.00,0.00,24749.05,els atr=3.14571
2018.02.16 14:27:29,13,XAUUSD,sell,out,0.19,1352.23,13,0.00,-8.55,25.46,24765.96,sl 1352.25
2018.03.07 14:00:00,14,XAUUSD,sell,in,0.24,1331.27,14,0.00,0.00,0.00,24765.96,els atr=2.52811
2018.03.09 14:58:43,15,XAUUSD,buy,out,0.24,1320.53,15,0.00,19.20,257.76,25042.92,sl 1320.41
2018.03.14 15:00:00,16,XAUUSD,sell,in,0.24,1323.92,16,0.00,0.00,0.00,25042.92,els atr=2.57925
2018.03.16 11:08:30,17,XAUUSD,buy,out,0.24,1321.44,17,0.00,19.20,59.52,25121.64,sl 1321.44
2018.04.03 13:00:00,18,XAUUSD,buy,in,0.27,1337.82,18,0.00,0.00,0.00,25121.64,els atr=2.26632
2018.04.03 14:19:41,19,XAUUSD,sell,out,0.27,1334.35,19,0.00,0.00,-93.69,25027.95,sl 1334.35
2018.04.19 13:00:00,20,XAUUSD,buy,in,0.22,1350.69,20,0.00,0.00,0.00,25027.95,els atr=2.83753
2018.04.19 16:01:30,21,XAUUSD,sell,out,0.22,1345.00,21,0.00,0.00,-125.18,24902.77,sl 1345.01
